;count;unique;top;freq;mean;std;min;0%;1%;5%;10%;25%;50%;75%;90%;95%;99%;100%;max;missing;total count;% missing;variability;variability_decision;completeness_decision
Rat-YLD-Bot-Neu_dis;560.0;;;;1099.1822788753132;99.98457872675152;909.7080299323476;909.7080299323476;934.7757856490791;973.7329517301015;995.07867942692;1030.1381919725745;1081.1392085668535;1133.006400563031;1267.124038184893;1337.5871256527191;1374.1545580145307;1393.048358260757;1393.048358260757;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Sub_use_dis;560.0;;;;77311.05073339256;100830.93149737344;2252.347136012241;2252.347136012241;2405.229346857857;7899.100927777488;8607.165534075892;19790.55881459924;37608.25852639921;56352.83575342917;235472.4345609672;315528.1369737389;439461.66962732596;454749.2506736915;454749.2506736915;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Sub_use_dis;560.0;;;;0.03286220439284951;0.007657207968423968;0.0182913794479586;0.0182913794479586;0.019549692259843467;0.022547630703114975;0.02370129821317688;0.02809219303650735;0.03071853907607405;0.037780768817167146;0.045520082130562946;0.049023797609410204;0.05088171609011205;0.0535250217424491;0.0535250217424491;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Sub_use_dis;560.0;;;;432.30433263867826;98.1487209811654;271.13762496374267;271.13762496374267;278.0256265865329;293.01578519155146;307.55916837845496;372.77507594227563;408.37898541133694;495.76830290400426;585.3344346899179;638.2272206581869;658.5305808579119;691.4888873483565;691.4888873483565;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Dia_and_kid_dis;560.0;;;;133730.8217570733;177449.0037316415;1633.3135483987446;1633.3135483987446;2283.85966476379;8623.01194856686;13183.421332521153;26892.806342672753;61044.07227536557;121552.26615332066;419148.7641952171;573530.7460065061;718941.8967977739;873688.7406095578;873688.7406095578;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Dia_and_kid_dis;560.0;;;;0.05236954215234124;0.014452803807219671;0.0222965156463332;0.0222965156463332;0.024205837373915535;0.02945509023712123;0.03472178563036355;0.0425842191512939;0.0508198261973187;0.06264128471607548;0.07098159430854656;0.07504161046051627;0.09592753214779726;0.1121479242113716;0.1121479242113716;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Dia_and_kid_dis;560.0;;;;696.4650466046832;206.76128831749975;278.07130652383256;278.07130652383256;295.594338348607;379.9409014499614;448.2658037335847;555.400223660602;680.150319244001;834.9644599734794;970.7874592373036;1017.3109473833955;1307.799455280256;1574.1615778261655;1574.1615778261655;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Ski_and_sub_dis;560.0;;;;120199.77686995939;162793.9302521135;3048.328938770218;3048.328938770218;3285.7607903985368;6321.174913364165;8305.569882920145;26513.153839387072;47513.69658082577;93834.09233514802;434152.7908228282;538049.4559944513;560564.4529700117;575738.2964516751;575738.2964516751;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Ski_and_sub_dis;560.0;;;;0.044767805307368735;0.0105489263942172;0.0274192914569663;0.0274192914569663;0.0276087270135438;0.029533300636186078;0.03093425074841858;0.033273470144208325;0.04940798132987935;0.05266371455933475;0.056531283589089876;0.05769712108111922;0.06611070666506112;0.0674049621307586;0.0674049621307586;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Ski_and_sub_dis;560.0;;;;592.7808995079057;144.6565503681513;369.24839883779833;369.24839883779833;369.5706608222848;392.3698023329161;398.4764565606811;420.0843613986878;672.3667733592573;704.5565197336268;740.5074357325866;747.8472254975994;839.0999010654439;840.4316635185921;840.4316635185921;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Mus_dis;560.0;;;;491879.0908875883;658318.9034248934;11300.590297733186;11300.590297733186;12388.821245797319;26041.267652801027;42693.1246104461;106797.71040150392;214685.22490055775;425806.9242308546;1771179.3593691597;1929729.1843399985;2560714.7243751884;2648922.987559598;2648922.987559598;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Mus_dis;560.0;;;;0.18733094093695374;0.02780768486421695;0.1407524250003924;0.1407524250003924;0.14297696537094476;0.1482923207281536;0.15165461928659954;0.1604636436737203;0.18807900111566075;0.20841757776530423;0.22018265327981815;0.24008491592400888;0.24506463122263064;0.249087212215565;0.249087212215565;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Mus_dis;560.0;;;;2483.2629703249627;436.09409597250044;1754.2676440182229;1754.2676440182229;1800.083340593282;1896.045713065135;1945.7975400622822;2076.881583683163;2506.7911782378246;2750.341086528958;3118.9873113817184;3204.8393270452566;3433.9599238783685;3498.8813508886856;3498.8813508886856;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Nut_def;560.0;;;;25896.440194843504;32555.716510362232;514.3198074023558;514.3198074023558;573.7493142384584;1982.0491223562676;2692.7601471492812;5390.403466905042;9889.891916821805;23508.07552989338;89805.6679910957;96831.4805517336;108080.36795015419;112987.63604498714;112987.63604498714;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Nut_def;560.0;;;;0.010299407815913911;0.002726778003976706;0.0056782538248268;0.0056782538248268;0.005792469624888663;0.0068908976380140105;0.00742356031223497;0.008558119091522374;0.00947701485885085;0.01185572558357855;0.01460181041005802;0.015834513530155487;0.017604615497977188;0.0192677122221928;0.0192677122221928;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Nut_def;560.0;;;;135.4482453431392;32.13223400767928;78.9552869178389;78.9552869178389;80.2107748554158;92.12726516692373;100.95711712224261;113.4671228718112;124.43278972882936;153.01820642595266;186.2027813740603;198.95243546507197;211.88536334593846;225.5996896782044;225.5996896782044;0.0;560.0;0.0;high_variation;accept;accept_100
